6	1242
5.98	1169
5.96	1136
5.94	1109
5.92	1106
5.9	1024
5.88	1150
5.86	1093
5.84	1098
5.82	1036
5.8	1074
5.78	1115
5.76	1052
5.74	1012
5.72	1033
5.7	1106
5.68	1015
5.66	1106
5.64	1093
5.62	1000
5.6	1113
5.58	1136
5.56	1201
5.54	1206
5.52	1233
5.5	1143
5.48	1160
5.46	1245
5.44	1286
5.42	1275
5.4	1343
5.38	1221
5.36	1350
5.34	1294
5.32	1348
5.3	1403
5.28	1379
5.26	1447
5.24	1412
5.22	1401
5.2	1445
5.18	1444
5.16	1553
5.14	1470
5.12	1450
5.1	1456
5.08	1424
5.06	1443
5.04	1502
5.02	1533
5	1556
4.98	1551
4.96	1547
4.94	1665
4.92	1639
4.9	1690
4.88	1722
4.86	1763
4.84	1816
4.82	1795
4.8	1924
4.78	1971
4.76	2111
4.74	2165
4.72	2420
4.7	2512
4.68	2708
4.66	2843
4.64	3066
4.62	3391
4.6	3702
4.58	4015
4.56	4393
4.54	4767
4.52	5409
4.5	6099
4.48	6820
4.46	7900
4.44	8877
4.42	10266
4.4	11922
4.38	13866
4.36	15967
4.34	18222
4.32	20567
4.3	23193
4.28	25925
4.26	28650
4.24	31676
4.22	34011
4.2	35923
4.18	37943
4.16	39750
4.14	41556
4.12	43053
4.1	44836
4.08	45804
4.06	47161
4.04	48130
4.02	49053
4	49549
3.98	50482
3.96	51108
3.94	52169
3.92	52340
3.9	53526
3.88	54596
3.86	55814
3.84	56764
3.82	57438
3.8	59225
3.78	60823
3.76	61469
3.74	62944
3.72	63795
3.7	64499
3.68	65617
3.66	65276
3.64	66068
3.62	66473
3.6	66422
3.58	66696
3.57	66344
3.55	66238
3.53	66532
3.51	65824
3.49	64503
3.47	63666
3.45	63485
3.43	62568
3.41	61884
3.39	60978
3.37	60124
3.35	58960
3.33	57393
3.31	56306
3.29	54852
3.27	53404
3.25	51777
3.23	49735
3.21	47665
3.19	45229
3.17	42468
3.15	39637
3.13	36608
3.11	33751
3.09	29971
3.07	26808
3.05	23274
3.03	19907
3.01	16819
2.99	14338
2.97	11750
2.95	9585
2.93	7959
2.91	6611
2.89	5446
2.87	4609
2.85	3868
2.83	3497
2.81	3074
2.79	2832
2.77	2576
2.75	2349
2.73	2278
2.71	2070
2.69	2007
2.67	2030
2.65	1859
2.63	1876
2.61	1967
2.59	1868
2.57	1886
2.55	1952
2.53	1925
2.51	1904
