333.042	41.5
332.582	-41.501885
332.082	16160.76
331.621	21792.148
331.119	21913.069
330.658	22073.982
330.159	22138.039
329.701	22104.976
329.198	22164.753
328.685	22086.615
328.228	21813.485
327.726	22207.504
327.268	22280.847
326.805	22074.581
326.308	21889.299
325.805	21921.94
325.306	22297.779
324.805	21828.824
324.309	21829.105
323.805	22227.219
323.348	22475.209
322.884	22261.544
322.386	22148.293
321.884	22104.337
321.385	22329.633
320.884	22402.695
320.384	22195.751
319.885	22212.076
319.424	22529.562
318.924	22622.221
318.424	22679.938
317.967	22712.303
317.468	22352.229
316.966	22751.498
316.467	22617.348
315.962	22799.607
315.465	22529.522
314.964	22814.427
314.466	22876.62
313.964	22704.133
313.467	22882.167
312.964	23006.136
312.465	23001.067
312.006	23173.084
311.504	23096.766
311.004	23138.812
310.503	23091.291
310.004	23413.236
309.544	23032.746
309.046	23556.112
308.547	23362.521
308.046	23354.301
307.547	23669.216
307.086	23663.765
306.626	23278.187
306.124	23171.396
305.623	23534.155
305.124	23677.4
304.619	23373.137
304.124	23616.713
303.625	23433.286
303.124	23733.317
302.625	23568.052
302.124	23341.708
301.664	23515.644
301.163	23685.79
300.702	23453.746
300.203	23406.318
299.704	23391.739
299.203	23402.112
298.705	23548.696
298.204	23825.965
297.706	23551.397
297.246	23739.245
296.786	23706.714
296.284	23267.941
295.786	23555.523
295.283	23446.791
294.785	23376.588
294.285	23641.564
293.787	23499.769
293.286	23652.328
292.789	23499.872
292.287	23417.476
291.787	23397.882
291.284	23248.888
290.783	22952.807
290.283	23235.881
289.783	23374.81
289.285	23015.323
288.784	23173.712
288.283	23096.706
287.823	23172.731
287.363	23102.732
286.865	23233.023
286.362	23009.581
285.863	22853.549
285.363	23266.639
284.906	22838.628
284.404	22914.657
283.908	22467.088
283.445	22784.233
282.988	22701.08
282.525	22808.553
282.067	22941.405
281.565	22648.635
281.065	22546.147
280.564	22496.524
280.068	22649.105
279.565	22600.418
279.066	22518.709
278.566	22279.167
278.066	22290.141
277.568	22122.729
277.065	22507.053
276.564	21949.046
276.062	22121.142
275.56	22268.185
275.061	22158.428
274.561	21952.356
274.06	21959.133
273.562	21935.713
273.061	21886.992
272.601	22003.93
272.101	22044.883
271.64	22014.473
271.14	22034.41
270.636	21791.189
270.139	21891.438
269.638	21758.432
269.178	21408.108
268.717	21357.388
268.219	21759.361
267.719	21504.947
267.262	21285.896
266.759	21620.507
266.3	21443.475
265.798	21421.309
265.339	21325.203
264.878	21794.034
264.42	21452.876
263.959	21083.392
263.503	21333.627
263.007	21379.909
262.546	21318.663
262.086	21170.116
261.585	20876.064
261.084	20972.349
260.581	21204.677
260.084	20803.27
259.582	21181.435
259.082	21192.317
258.583	21178.3
258.1	20889.339
257.601	20991.1
257.104	20767.412
256.64	20940.111
256.179	20784.267
255.679	20613.717
255.179	20627.771
254.72	20930.634
254.219	20791.657
253.759	20822.565
253.26	20750.733
252.799	20336.281
252.302	20814.579
251.796	20823.702
251.34	20663.589
250.836	20529.472
250.38	20466.781
249.877	20441.073
249.419	20263.549
248.961	20523.176
248.501	20563.394
248.006	20364.545
247.502	20591.436
247.042	20526.016
246.583	20334.082
246.079	20367.611
245.578	20662.461
245.079	20520.312
244.62	20702.073
244.118	20414.88
243.66	20453.102
243.163	20541.262
242.662	20324.932
242.163	20661.353
241.702	20572.501
241.191	20548.564
240.691	20615.851
240.19	20432.006
239.689	20512.451
239.191	20497.306
238.695	20693.027
238.193	20530.854
237.738	20668.662
237.235	20943.577
236.728	20831.004
236.267	21041.152
235.763	21231.006
235.267	20834.763
234.763	21017.884
234.265	21469.566
233.765	21535.65
233.306	21348.344
232.805	21662.039
232.306	21371.115
231.804	21585.761
231.303	21746.002
230.802	21974.591
230.307	22166.524
229.804	21885.807
229.308	22603.09
228.804	22079.54
228.308	22609.359
227.806	22515.424
227.307	22443.258
226.805	22702.484
226.304	22580.266
225.803	22869.456
225.304	22767.407
224.802	23048.175
224.306	23065.866
223.803	22810.689
223.303	22960.011
222.843	23017.925
222.384	23212.975
221.884	23348.906
221.383	22831.119
220.883	23025.823
220.384	23515.851
219.883	23292.781
219.385	23229.156
218.885	23546.892
218.385	23408.814
217.882	23756.844
217.383	23766.233
216.881	24105.119
216.421	23881.883
215.921	23878.093
215.421	23681.933
214.921	23781.261
214.422	24082.837
213.922	23923.431
213.421	24071.962
212.922	24276.869
212.425	24516.815
211.965	24486.68
211.462	24927.715
210.959	24692.198
210.463	24515.423
209.963	25015.734
209.462	24860.283
208.964	25263.332
208.463	25609.229
207.965	25698.036
207.504	25839.866
207.044	26058.945
206.543	26192.821
206.041	25940.726
205.577	26377.37
205.079	26781.219
204.583	27138.325
204.083	27158.856
203.584	27116.293
203.086	27817.105
202.588	27859.344
202.085	28256.111
201.586	28279.17
201.084	28741.961
200.583	29044.972
200.085	29510.733
199.623	29523.511
199.123	29772.6
198.664	30041.215
198.161	30746.509
197.662	30917.351
197.162	31380.937
196.662	31744.623
196.16	32016.06
195.661	32520.572
195.158	32793.568
194.699	33032.901
194.196	33271.432
193.739	33953.216
193.235	34389.496
192.723	34639.03
192.223	35180.13
191.72	35274.886
191.22	36271.135
190.719	36685.391
190.21	37461.478
189.71	37283.706
189.214	37629.602
188.712	38203.812
188.205	38720.818
187.709	39152.639
187.207	39580.544
186.709	39659.605
186.205	40269.349
185.708	40268.875
185.204	40444.304
184.709	40855.589
184.204	40923.213
183.708	41206.967
183.246	41718.181
182.748	42067.391
182.247	42579.387
181.788	42317.465
181.285	42863.972
180.784	43288.146
